Zip_Code,Taxonomy_Code,Count_Taxonomy_Code
99508,305R00000X,2
99508,310400000X,69
99508,3104A0625X,6
99508,3104A0630X,4
99508,311500000X,1
99508,311Z00000X,3
99508,311ZA0620X,3
99508,314000000X,1
99508,320600000X,2
99508,320700000X,4
99508,320800000X,3
99508,320900000X,3
99508,322D00000X,5
99508,323P00000X,3
99508,324500000X,3
99508,3245S0500X,2
99508,332800000X,7
99508,332B00000X,28
99508,332BC3200X,2
99508,332BX2000X,1
99508,332H00000X,3
99508,332S00000X,1
99508,333600000X,10
99508,3336C0002X,2
99508,3336C0003X,9
99508,3336C0004X,2
99508,3336H0001X,1
99508,3336L0003X,1
99508,335E00000X,3
99508,3416A0800X,1
99508,343800000X,1
99508,343900000X,4
99508,347C00000X,2
99508,347E00000X,1
99508,363A00000X,161
99508,363AM0700X,69
99508,363AS0400X,38
99508,363L00000X,68
99508,363LA2100X,9
99508,363LA2200X,15
99508,363LF0000X,151
99508,363LG0600X,4
99508,363LN0000X,11
99508,363LN0005X,9
99508,363LP0200X,22
99508,363LP0222X,3
99508,363LP0808X,25
99508,363LP2300X,2
99508,363LW0102X,17
99508,363LX0001X,5
99508,364SA2100X,1
99508,364SA2200X,3
99508,364SF0001X,2
99508,364SH1100X,1
99508,367500000X,69
99508,367A00000X,38
99508,373H00000X,1
99508,374700000X,2
99508,3747A0650X,15
99508,3747P1801X,10
99508,374J00000X,2
99508,374T00000X,1
99508,374U00000X,1
99508,376G00000X,2
99508,376K00000X,6
99508,385H00000X,12
99508,385HR2060X,2
99508,390200000X,58
